session_id	client_id	timestamp	elb	client_ip	client_port	backend_ip	backend_port	request_processing_time	backend_processing_time	response_processing_time	elb_status_code	backend_status_code	received_bytes	sent_bytes	request_action	request_url	request_protocol	user_agent	ssl_cipher	ssl_protocol
407	129	1437587296	marketpalce-shop	1.186.76.11	54981	10.0.6.99	80	2.3E-5	0.003739	1.4E-5	200	200	0	14333	GET	https://paytm.com:443/	HTTP/1.1	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2
407	129	1437587353	marketpalce-shop	1.186.76.11	54981	10.0.4.227	80	2.4E-5	0.027331	2.7E-5	302	302	0	17	GET	https://paytm.com:443/shop/v1/frequentorders?channel=web&version=2	HTTP/1.1	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2
407	129	1437587650	marketpalce-shop	1.186.76.11	54988	10.0.6.199	80	2.4E-5	0.011512	2.3E-5	200	200	0	224	GET	https://paytm.com:443/shop/cart?channel=web&version=2	HTTP/1.1	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2
407	129	1437586937	marketpalce-shop	1.186.76.11	54981	10.0.4.150	80	2.4E-5	0.004304	2.1E-5	200	200	0	676	GET	https://paytm.com:443/shop/ad/paytmAd?cat=bus1&paytm=new	HTTP/1.1	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2
407	129	1437587826	marketpalce-shop	1.186.76.11	55023	10.0.6.108	80	2.4E-5	0.024482	2.1E-5	200	200	0	1332	GET	https://paytm.com:443/shop/orderhistory?pagesize=10&channel=web&version=2	HTTP/1.1	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2
408	129	1437587838	marketpalce-shop	1.186.76.11	55024	10.0.4.227	80	2.2E-5	0.071485	1.4E-5	200	200	0	221	GET	https://paytm.com:443/shop/wallet/balance?channel=web&version=2	HTTP/1.1	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2
407	129	1437587827	marketpalce-shop	1.186.76.11	55024	10.0.6.99	80	2.3E-5	0.036807	2.2E-5	200	200	0	1777	GET	https://paytm.com:443/shop/orderdetail/1051483158?actions=1&channel=web&version=2	HTTP/1.1	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2
407	129	1437587184	marketpalce-shop	1.186.76.11	55024	10.0.4.225	80	2.3E-5	0.007929	2.2E-5	200	200	52	30	POST	https://paytm.com:443/papi/nps/merchantverification	HTTP/1.1	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2
408	129	1437588039	marketpalce-shop	1.186.76.11	55024	10.0.4.150	80	2.2E-5	0.062402	2.3E-5	200	200	0	1332	GET	https://paytm.com:443/shop/orderhistory?pagesize=10&channel=web&version=2	HTTP/1.1	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2
407	129	1437587267	marketpalce-shop	1.186.76.11	56695	10.0.6.195	80	2.4E-5	0.003979	2.2E-5	200	200	0	14342	GET	https://paytm.com:443/?utm_source=Affiliates&utm_medium=Payoom&utm_campaign=Payoom	HTTP/1.1	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2
